Name,Team(s),Matches,Runs,Bat Avg
Sai Sudharsan,GTI,15,759,54.21
S A Yadav,"MIN, KKR",16,717,65.18
V Kohli,RCB,15,657,54.75
Shubman Gill,"KKR, GTI",15,650,50
M R Marsh,"DCH, PWI, RPS, SUN, DDV, LSG",13,627,48.23
S S Iyer,"DDV, KKR, KXI",17,604,50.33
Y B K Jaiswal,RRO,14,559,43
Prabhsimran Singh,KXI,17,549,32.29
K L Rahul,"RCB, SUN, KXI, LSG, DDV",13,539,53.9
J C Buttler,"MIN, RRO, GTI",14,538,59.78
N Pooran,"KXI, SUN, LSG",14,524,43.67
H Klaasen,"RRO, RCB, SUN",14,487,44.27
Priyansh Arya,KXI,17,475,27.94
A K Markram,"KXI, SUN, LSG",13,445,34.23
Abhishek Sharma,"DDV, SUN",14,439,33.77
R G Sharma,"DCH, MIN",15,418,29.86
P D Salt,"DDV, KKR, RCB",13,403,33.58
R Parag,RRO,14,393,32.75
A M Rahane,"MIN, RRO, RPS, DDV, KKR, CSK",13,390,35.45
R D Rickelton,MIN,14,388,29.85
T M Head,"RCB, SUN",13,374,31.17
N Wadhera,"MIN, KXI",16,369,30.75
S Dube,"RCB, RRO, CSK",14,357,32.45
Ishan Kishan,"GUJ, MIN, SUN",14,354,35.4
Shashank Singh,"SUN, KXI",17,350,50
Tilak Varma,MIN,16,343,31.18
D C Jurel,RRO,14,333,37
A Badoni,LSG,14,329,32.9
R M Patidar,RCB,15,312,24
A Porel,DDV,13,301,25.08
R A Jadeja,"RRO, KTK, CSK, GUJ",14,301,33.44
Angkrish Raghuvanshi,KKR,12,300,33.33
T Stubbs,"MIN, DDV",14,300,50
S E Rutherford,"DDV, RCB, GTI, MIN",13,291,32.33
S V Samson,"RRO, DDV, CSK",9,285,35.63
J P Inglis,"KXI, LSG",11,278,30.89
R R Pant,"DDV, LSG",14,269,24.45
A R Patel,"KXI, DDV",12,263,26.3
J M Sharma,"KXI, RCB",15,261,37.29
V Sooryavanshi,RRO,7,252,36
Naman Dhir,MIN,16,252,31.5
D Padikkal,"RCB, RRO, LSG",10,247,27.44
S P Narine,KKR,12,246,22.36
Ayush Mhatre,CSK,7,240,34.29
S O Hetmeyer,"RCB, DDV, RRO",14,239,21.73
A Verma,SUN,14,236,26.22
W G Jacks,"RCB, MIN",13,233,23.3
D Brevis,"MIN, CSK",6,225,37.5
H H Pandya,"MIN, GTI",15,224,24.89
N Rana,"MIN, KKR, RRO, DDV",11,217,21.7
Rinku Singh,KKR,13,206,29.43
Ashutosh Sharma,"KXI, DDV",13,204,29.14
